Full_Name,Lat,Long,YeStart,YeEnd,Funestus
Bodjecali,11.8002,3.4367,2012,2015,0.0
Madecali,11.6981,3.5513,2015,2015,0.0
Mounin,11.8758,3.3487,2015,2015,0.0
Kandi 1,11.2667,3.5833,2008,2008,0.0
Kandi 3,11.15,3.5333,2008,2008,0.0
Coutagou,10.1438,1.14,2015,2015,0.0
Kounadogou,10.167,1.099,2010,2010,1.0
Koutangou,10.251,1.083,2010,2010,1.0
Zongo,10.1743,1.1021,2010,2010,1.0
Karigourou,10.8305,2.1142,2010,2010,0.0
Cobly,10.4805,1.0144,2009,2015,1.0
Cobly - Nouagou,10.4797,1.0143,2015,2015,0.0
Cobly -Zongo,10.4796,1.0143,2015,2015,0.0
Katouok�,10.4765,1.0077,2010,2010,0.0
Bassilou,10.3255,1.6875,2010,2010,0.0
Beke-Bourame,10.309,1.7415,2012,2012,0.0
Goufanrou,10.0489,1.7583,2012,2012,0.0
Mary,10.3286,1.7087,2012,2014,0.0
Nassoukou,10.7724,1.8238,2012,2012,0.0
Nianssera,10.362,1.635,2012,2012,0.0
Niaro,10.187,1.602,2010,2010,1.0
Kouforpissiga,10.7174,0.901,2015,2015,1.0
Materi,10.7279,0.994,2010,2013,0.0
Nambouli,10.8746,0.9547,2012,2012,0.0
Nanka,10.6916,1.0671,2010,2010,0.0
Pingou,10.6909,1.1082,2012,2012,0.0
Sakoehoum,10.9369,1.0624,2012,2012,0.0
Sakonou,10.7659,1.0147,2012,2012,0.0
Bercingou,10.234,1.383,2010,2010,0.0
Kota-Monongou,10.242,1.454,2012,2012,0.0
Sotchiratikou,10.333,1.384,2012,2012,0.0
Yarikou,10.3916,1.5729,2012,2012,0.0
Banikani,10.2249,2.0001,2010,2010,0.0
Gb巄a,10.2504,1.9914,2010,2010,1.0
Gonri,10.252,2.048,2012,2012,0.0
Niemasson,10.4124,2.01,2012,2012,0.0
Pehunco,10.2283,2.0019,2009,2013,0.0
Sinaou,10.163,2.194,2012,2012,0.0
Soammborekou,10.1919,1.9565,2012,2012,0.0
Biacou,10.584,1.232,2012,2014,0.0
Jambala Kodilou,10.8363,1.3877,2015,2015,0.0
Korongkore,10.5821,1.3296,2012,2012,0.0
Ouanko,10.463,1.17,2012,2012,0.0
Taiacou,10.5427,1.2026,2012,2014,0.0
Tanguieta,10.5667,1.2667,2007,2013,0.0
Tchawasaga,10.7458,1.3882,2015,2015,0.0
Thanwassaka,10.767,1.399,2010,2010,1.0
Tora,10.6654,1.3492,2012,2012,0.0
Yarka,10.626,1.2688,2010,2010,0.0
Sanga,10.4931,1.3714,2010,2010,0.0
Tectibayaou,10.4857,1.4176,2010,2010,1.0
Toukountouna,10.4957,1.3783,2009,2011,0.0
Aidjedo,6.4,2.3333,2007,2009,1.0
Lokohoue,6.4672,2.2558,2007,2011,1.0
Allada,6.6645,2.1598,2006,2013,0.0
Allomey,6.6708,2.1508,2012,2012,1.0
Niaouli,6.7333,2.1333,2006,2012,1.0
Abenihoue,6.4925,2.0261,2007,2009,1.0
Adjame,6.433,1.9922,2007,2009,1.0
Agokon,6.4898,2.0623,2007,2009,1.0
Dekponhoue,6.4915,2.0422,2007,2009,1.0
Gbedjougo,6.443,2.0481,2007,2010,1.0
Gbetaga,6.4652,2.0303,2007,2010,1.0
Hinmadou,6.5241,2.0343,2007,2009,1.0
Kindjitokpa,6.4088,1.9799,2007,2009,1.0
Kpomasse,6.5102,2.0469,2009,2009,0.0
Amoulehoue,6.4437,2.1224,2007,2009,1.0
Assogbenou Daho,6.457,2.0904,2007,2009,1.0
Dohinoko,6.4153,2.0555,2007,2009,1.0
Guezohoue,6.4833,2.0833,2007,2009,1.0
Hekandji,6.4167,2.1167,2007,2009,1.0
Pahou,6.3684,2.2109,2006,2016,1.0
Savi,6.4167,2.1,2007,2009,0.0
Tokoli Vidjinnagnimon,6.4509,2.15,2007,2011,1.0
Houegbo,6.8,2.1667,2006,2006,0.0
Adjahassa,6.55,2.1558,2007,2009,1.0
Agadon,6.5618,2.1003,2007,2009,1.0
Agouako,6.5119,2.1643,2007,2009,1.0
Avame centre,6.5,2.2167,2007,2010,1.0
Ayidohoue,6.5285,2.1002,2007,2009,1.0
Dokanmey,6.55,2.2167,2007,2009,1.0
Hla,6.5133,2.2047,2007,2009,1.0
Hounkponouhoue,6.5615,2.0848,2007,2009,1.0
Manguevie,6.4749,2.1596,2007,2009,1.0
Satre,6.5667,2.0667,2007,2009,1.0
Soko,6.5964,2.0857,2007,2009,1.0
Tanto,6.5624,2.1777,2007,2009,1.0
Todo,6.5037,2.1372,2007,2009,1.0
Tokoli,6.4576,2.1885,2007,2012,1.0
Tokoli-Dozouzrame,6.5478,2.2142,2009,2009,1.0
Tori,6.5031,2.145,2007,2009,0.0
Tori Cada Centre,6.55,2.2,2007,2010,1.0
Tori-Bossito,6.5031,2.145,2006,2011,0.0
Wanho,6.45,2.1833,2007,2009,1.0
Zoume,6.5467,2.1149,2007,2009,1.0
Azili,6.7288,2.3701,2015,2015,0.0
Ze,6.7833,2.3,2007,2009,0.0
Guessou sud,10.4667,2.65,2006,2006,0.0
Ina,9.9833,2.7167,2006,2006,0.0
Tchatchou,10.1167,2.55,2006,2006,0.0
Boko,9.4894,2.6276,1995,1997,0.0
Ndali,9.85,2.7167,2006,2006,0.0
Aladji-Kpara,9.3249,2.6774,2015,2015,0.0
Azereke,9.3667,2.6667,2009,2009,1.0
Guema,9.4,2.591,2005,2005,0.0
Kpekikinou,9.3453,2.7083,2015,2015,0.0
Parakou,9.35,2.6168,2003,2012,0.0
Thian,9.3442,2.5801,2015,2015,0.0
Zongo zeno,9.3611,2.6282,2012,2012,0.0
Mar巜orou,10.401,2.483,2010,2010,0.0
Sebou,9.167,2.4949,2015,2015,0.0
Tchaourou,8.9,2.6,2006,2006,0.0
Amangassa,7.7755,2.1953,2012,2012,1.0
Dassa-Zoume,7.78,2.18,2001,2007,0.0
Lema,7.7667,2.2333,1998,2012,1.0
Camp Peulh Gome,7.8811,2.2126,2015,2015,0.0
Glazoue,7.9667,2.2333,2007,2007,0.0
Hlasso�,8.011,2.295,2003,2012,0.0
Sowe,7.9667,2.211,2015,2015,0.0
Zougueme,7.8524,1.8446,2015,2015,1.0
Zoundji,7.8724,1.8221,2015,2015,1.0
Save,8.028,2.489,2007,2007,0.0
Aplahoue,6.936,1.671,2007,2009,0.0
Dogbo,6.8013,1.7829,2007,2009,0.0
Klouekanm�,6.984,1.817,2007,2009,0.0
Lanta,7.1,1.867,2007,2009,0.0
Houngo,6.7943,2.0398,2007,2010,1.0
Toviklin,6.8894,1.8372,2007,2009,0.0
Bassila,9.0,1.6667,2006,2007,0.0
Copargo,9.8375,1.5481,2010,2014,0.0
Kataban,9.9044,1.5302,2012,2012,0.0
Kparakounan,9.9673,1.4809,2012,2012,0.0
Akpakpa,6.3708,2.4541,2004,2004,0.0
Asecna,6.35,2.3833,2005,2010,0.0
Cotonou 2,6.356,2.436,1996,1998,0.0
Cotonou Airport,6.3561,2.3833,1995,1995,0.0
Delokpo,6.372,2.4423,2005,2005,0.0
Fifadji,6.3896,2.3985,1995,2009,0.0
Gbedjromede,6.3848,2.4185,2006,2009,0.0
Hou巠iho,6.3765,2.4045,2003,2011,1.0
Houeyiho 1,6.3716,2.3974,2007,2009,0.0
Houeyiho 2,6.3749,2.3943,2007,2009,0.0
Tchanhounkpame,6.373,2.4409,2007,2009,0.0
Zogbo,6.3929,2.3925,2007,2009,0.0
Djetokpa,6.6164,1.7158,2015,2015,0.0
Agonssa,6.6018,1.9755,2015,2015,0.0
Bopa,6.7027,1.949,2007,2009,0.0
Possotome,6.5225,1.9635,2007,2009,0.0
Come,6.4,1.8833,2007,2009,0.0
Nazoum�,6.37,1.95,2000,2000,0.0
Adjaha-Konho,6.3034,1.8401,2005,2007,0.0
H弙�,6.2857,1.8441,1995,2000,0.0
Hou巠ogb�,6.544,1.852,2007,2009,0.0
Kpinnou,6.5676,1.7984,2015,2015,0.0
Togbadji,6.6202,1.7904,2015,2015,0.0
Tohonou,6.5326,1.8717,2015,2015,0.0
Doukonta- adjhikom�,6.6725,1.7023,2015,2015,0.0
Doukonta- allom�,6.6751,1.6971,2015,2015,1.0
Adjara,6.5333,2.6667,2009,2012,0.0
Agbomey-Takplikpo,6.45,2.677,2008,2013,0.0
Ananvie,6.5267,2.6626,2007,2010,1.0
Malanhoui,6.49,2.66,2010,2010,0.0
Tanme,6.495,2.66,2008,2010,0.0
Adjohoun,6.7002,2.5,2007,2012,0.0
Allanzounme,6.723,2.49,2008,2011,0.0
Fanvi,6.713,2.4993,2007,2010,1.0
Gangban,6.6944,2.5075,2008,2009,1.0
Houekpa-Kpota,6.753,2.4902,2007,2011,1.0
Tovegbame,6.78,2.478,2007,2010,1.0
Akodji,6.4971,2.545,2011,2011,0.0
Akpadon,6.4902,2.5506,2010,2011,0.0
Avabodji,6.517,2.533,2010,2010,0.0
Dj弅p�,6.522,2.5364,2010,2011,0.0
Donoukpa,6.476,2.5603,2011,2011,0.0
Houedeme,6.4833,2.5333,2010,2010,0.0
Zougame,6.4523,2.5395,2010,2010,0.0
Akpro-Misserete,6.5625,2.5853,2010,2011,1.0
Katagon,6.633,2.599,2007,2011,1.0
Luho,6.501,2.579,2007,2009,0.0
Misserete,6.5587,2.5906,2008,2012,0.0
Misserete Brigade,6.5423,2.591,2007,2011,1.0
Misserete Centre,6.5625,2.5853,2007,2010,1.0
Tokpahouete,6.6214,2.5891,2007,2010,1.0
Vakon,6.5195,2.5613,2010,2010,0.0
Agonhlome,6.582,2.552,2007,2010,1.0
Bamize,6.587,2.549,2008,2011,0.0
H恡in,6.588,2.5046,2015,2015,0.0
Hozin,6.5333,2.55,1998,2010,1.0
Ke,6.57,2.542,2007,2010,1.0
Kessounou,6.573,2.526,2007,2010,1.0
Djassin,6.4784,2.6325,2000,2000,0.0
Foun-Foun,6.509,2.605,2007,2010,0.0
Houinme,6.511,2.616,2007,2010,0.0
Hounsouko,6.513,2.627,2007,2010,0.0
Zebe,6.5079,2.6015,2007,2010,1.0
Akron,6.43,2.64,2005,2013,1.0
Avotrou Gbam�,6.3752,2.4753,2011,2011,0.0
Djeregbe,6.4304,2.6164,2007,2011,0.0
Krake,6.379,2.7008,1995,2010,0.0
Minontchou,6.382,2.4544,2007,2009,0.0
Sekandji,6.368,2.523,2010,2013,0.0
Seme,6.38,2.707,2009,2012,0.0
Seme-Podji,6.4235,2.5846,2008,2012,0.0
Suru-lere,6.3819,2.4666,2007,2012,0.0
Yenawa,6.3814,2.4562,2007,2009,0.0
Adja-Were,7.011,2.623,2007,2009,0.0
Akadja,6.6158,2.7213,2011,2011,0.0
Araromi,6.7107,2.7715,2011,2011,0.0
Banigb� Centre,6.6594,2.7253,2011,2011,0.0
Baoudjo,6.7302,2.7723,2011,2011,0.0
Daagbe,6.5302,2.7134,2011,2011,0.0
Djegoun-dj廹ui,6.5419,2.715,2011,2011,0.0
Gb巇ji,6.668,2.7198,2011,2011,0.0
Gblo-gblo,6.5694,2.733,2011,2011,0.0
Ifangni,6.6766,2.7187,2007,2009,0.0
Igolo,6.6446,2.7292,2011,2011,0.0
Itakpako,6.6851,2.7527,2011,2011,0.0
Itassoumba,6.7037,2.7794,2011,2014,0.0
Ketougbekon,6.5645,2.6969,2011,2014,0.0
Ko-a昫jedo,6.5964,2.6946,2011,2014,0.0
Ko-dogba,6.6135,2.6703,2011,2014,0.0
Ko-Koumolou,6.6243,2.6855,2011,2014,0.0
Lokossa,6.6538,2.7289,2007,2011,0.0
Tchaada,6.5604,2.7165,2011,2014,0.0
Zihan,6.7006,2.6855,2011,2014,0.0
Zoungodo,6.6307,2.6907,2007,2011,1.0
Adjozoume,7.3572,2.5969,2011,2014,0.0
Alakouta,7.3955,2.6706,2011,2011,0.0
Atchoubi 1,7.3485,2.601,2011,2011,0.0
Atchoubi 2,7.3386,2.5888,2011,2011,0.0
Bam�,7.2993,2.4668,1998,2015,0.0
Idena 2,7.2625,2.541,2011,2011,0.0
Idena 3,7.2627,2.5409,2011,2014,0.0
Igui-olou,7.3693,2.6102,2011,2011,0.0
Ketou,7.3633,2.5998,2007,2009,0.0
Kouhoudou,7.3693,2.6102,2011,2011,0.0
Kpankoun,7.3501,2.5667,2011,2011,0.0
Mowodani,7.2759,2.5663,2011,2011,0.0
Obatedo,7.3743,2.6091,2011,2011,0.0
Odokoto,7.2921,2.5744,2011,2011,0.0
Ok巓la,7.3327,2.5895,2011,2011,0.0
Okpometa,7.3757,2.5969,2011,2011,0.0
Oloumou,7.3701,2.5971,2011,2011,0.0
Agbarou,6.9782,2.6483,2011,2014,0.0
Banigb�,6.9655,2.6985,2011,2011,0.0
Igbo-okpa,7.0899,2.6352,2011,2011,0.0
Illekpa,7.0171,2.6917,2011,2011,0.0
Issaba,7.1018,2.6864,2011,2011,0.0
Obanigbe,6.9659,2.6987,2011,2011,0.0
Okeita,7.1527,2.6529,2011,2011,0.0
Okoofi 2,7.0328,2.6467,2011,2011,0.0
Onigbolo,7.1947,2.6668,2011,2011,0.0
Osoumou 1,6.9781,2.6483,2011,2011,0.0
Osoumou 2,7.0535,2.642,2011,2011,0.0
Adjegounle/Alabansa,6.8501,2.5898,2012,2012,0.0
Alabansa,6.8461,2.6081,2011,2014,0.0
Dagbao,6.8228,2.6105,2011,2011,0.0
Djohounkoll�,6.6313,2.6502,2011,2014,0.0
Idi,6.8547,2.575,2011,2011,0.0
Idiagbola,6.7089,2.6044,2011,2011,0.0
Igbo-abikou,6.856,2.5666,2011,2014,0.0
Igbola,6.851,2.631,2011,2011,0.0
Ikemon,6.6503,2.6124,2011,2011,0.0
Ilakofadji,6.8065,2.6408,2011,2011,0.0
Itadj廱ou,6.8304,2.6175,2011,2011,0.0
Iwa�,6.829,2.6027,2011,2011,0.0
Sakete,6.7364,2.6581,2007,2009,0.0
Yoko Centre,6.7219,2.5961,2011,2011,0.0
Cana,7.1461,2.0831,2006,2006,0.0
Lele,7.3892,2.263,2011,2011,0.0
Dan,7.351,2.049,2003,2003,0.0
Houedja,7.133,2.45,1995,1997,0.0
Zagnanado,7.2008,2.2553,1995,1997,0.0
Kpoto,7.2293,2.4495,2015,2015,0.0
Ilema,7.0,2.0,2015,2015,0.0
Zogbodomey,7.0448,2.1843,2006,2006,0.0
Gweta,-20.206,25.259,2008,2008,0.0
Maposa,-20.1027,26.2667,2008,2008,0.0
Mmadikgaka,-21.6069,28.1823,2008,2008,0.0
Mmamidi,-21.6456,28.3374,2008,2008,0.0
Motopi,-20.2156,24.1309,2008,2015,0.0
Zanzibar,-22.5667,28.4696,2008,2008,0.0
Chobe Safari Lodge,-17.8029,25.1518,1995,1995,0.0
Kazangula Road 1,-17.7956,25.207,1995,1995,0.0
Mowana Lodge,-17.7826,25.1591,1995,1995,0.0
Satau,-18.0103,24.4061,2008,2008,0.0
"Charles Hill, Hanahai",-22.2764,20.0928,2008,2008,0.0
Dekar,-21.534,21.933,2008,2008,0.0
Makunda,-22.3892,20.1216,2008,2008,0.0
Bokaa,-24.45,26.016,2008,2008,0.0
Oliphants drift,-24.1855,26.8562,2008,2008,0.0
Khudumelapye,-23.882,24.75,2008,2015,0.0
Ditshiping,-19.7667,23.4167,2015,2015,1.0
Kauxwi,-18.279,21.841,1994,1994,1.0
Komane,-20.201,23.248,2008,2008,0.0
Mogotlho,-19.2167,23.95,2015,2015,0.0
Mohembo East,-18.369,21.802,2015,2015,1.0
Mohembo West,-18.2833,21.7833,2015,2015,0.0
Samedupe,-20.0363,23.3749,2008,2008,0.0
Sedie,-19.9504,23.4704,2008,2008,0.0
Tubu,-19.3524,22.2819,2011,2013,0.0
Makaleng,-20.899,27.296,2008,2008,0.0
Ntshe river,-21.1567,27.4956,2008,2008,0.0
Sebina,-20.839,27.2218,1998,1999,0.0
Tshesebe,-20.7265,27.5852,2008,2008,0.0
Bana,11.9167,-3.3833,2011,2013,0.0
Bandio,11.679,-3.2631,2005,2005,0.0
Siby,11.85,-2.9666,2002,2002,1.0
Vi,11.7591,-3.1347,2002,2002,1.0
Dima,12.1,-4.567,2008,2008,0.0
Bankoumani,12.619,-3.908,2008,2008,0.0
Bisso,12.717,-3.766,2008,2008,0.0
Boron,12.649,-3.917,2009,2009,0.0
Bourasso,12.6337,-3.7125,2000,2009,1.0
Ciss�,12.8963,-3.7364,2003,2004,0.0
Damadigui,12.733,-3.767,2009,2009,0.0
Daman-D Mossi,12.75,-3.773,2008,2008,0.0
Dara,12.632,-3.917,2009,2009,0.0
Dembelela,12.684,-3.984,2008,2008,0.0
Denisa,12.583,-3.968,2008,2008,0.0
Dionkongo,12.8203,-3.7285,2000,2009,1.0
Goni,12.5814,-3.9662,2003,2012,0.0
Kamadeni,12.617,-4.017,2009,2009,0.0
Kamininiankoro,12.567,-3.783,2008,2008,0.0
Kansara,12.684,-3.784,2008,2008,0.0
Kemena,12.704,-4.004,2008,2008,0.0
Kodougou,12.516,-3.601,2000,2001,1.0
Konkouni,12.668,-3.784,2008,2008,0.0
Koro,12.8102,-3.606,2000,2000,1.0
Lekuy,12.6,-3.683,2009,2009,1.0
Mourdie,12.782,-3.751,2008,2009,0.0
Nouna,12.728,-3.861,2000,2012,0.0
Ouette,12.846,-3.663,2008,2008,0.0
Pa,12.667,-3.95,2008,2008,0.0
Sere,12.815,-3.769,2008,2009,0.0
S巖iba,12.8666,-3.6499,2000,2001,1.0
Sikoro,12.617,-3.784,2000,2008,1.0
Soin,12.772,-3.81,2008,2008,0.0
Tebere,12.65,-3.766,2008,2008,0.0
Tissi,12.85,-3.734,2008,2008,0.0
Toni,12.65,-3.834,2008,2008,0.0
Tonikoroni,12.668,-3.834,2008,2008,0.0
Tonsere,12.667,-3.734,2008,2008,0.0
Bako,12.0239,-3.7505,2005,2005,0.0
Danpan,11.8537,-3.7496,2005,2005,0.0
D巇ougou,12.463,-3.466,2003,2010,0.0
Mokouna,11.843,-3.8264,2005,2005,0.0
Monkui,12.2138,-3.7469,2005,2005,0.0
Oue,12.0828,-3.6099,2005,2005,0.0
Toun,11.9104,-3.6415,2005,2005,0.0
Badara,12.5917,-3.2533,2005,2005,0.0
Bouna,12.657,-3.1322,2005,2005,0.0
Bounou,12.8037,-2.8193,2005,2005,0.0
Djimbara,12.8872,-3.1482,2005,2005,0.0
La,12.7927,-2.9764,2002,2005,1.0
Labora,12.8754,-3.0937,2005,2005,0.0
Pankele,12.6298,-2.8823,2005,2005,0.0
Sawa,12.7016,-2.9563,2005,2005,0.0
Zaba,12.7659,-3.2104,2005,2005,0.0
Diouroum,12.9829,-3.1146,2005,2005,0.0
Niassan,13.1,-3.435,2003,2003,0.0
Badadougou,10.7273,-4.8905,2005,2005,0.0
Banzon,10.6758,-3.8722,1991,1991,1.0
Brobrola,10.7245,-4.1827,2005,2005,0.0
Dafala,10.4516,-3.7581,2005,2005,0.0
Dandougou,10.53,-4.0685,2005,2005,0.0
Dianga,10.6217,-4.2209,2005,2005,0.0
Fandyora,10.7473,-4.5784,2005,2005,0.0
Folonzo,9.953,-4.671,1992,1992,1.0
Foulasso,10.7491,-4.0977,2005,2005,0.0
Kiribina,10.652,-4.801,1992,1994,1.0
Lekoro,10.3248,-3.8209,2005,2005,0.0
Lembouroudougou,10.6672,-4.7868,1992,1992,1.0
Noumousso,10.7025,-4.3017,2005,2005,0.0
Sirakorotomo,10.6295,-4.1394,2005,2005,0.0
Soukouraba,10.4438,-3.892,2005,2005,0.0
Tchemoko,10.3719,-3.8014,2005,2005,0.0
Tiefora,10.632,-4.5576,2005,2010,0.0
Wenga,10.5715,-4.1122,2005,2005,0.0
Yade,10.5571,-4.3793,2005,2005,0.0
Kaniagara,10.784,-5.3302,2005,2005,0.0
Kayere,10.7784,-5.2055,2005,2005,0.0
Kingban,10.7007,-5.2543,2005,2005,0.0
Kodeni,10.3167,-5.4167,2008,2008,0.0
Oueleni,10.8417,-5.3432,2005,2005,0.0
Tamassari,10.6358,-5.3332,2005,2005,0.0
Timba,10.6219,-5.2365,2005,2005,0.0
Wolonkoto 2,10.6716,-4.9812,2005,2005,0.0
Badnogo,12.4704,-1.299,2005,2005,0.0
Balonguen,12.4331,-1.4394,2000,2003,1.0
Baskuy,12.3824,-1.5493,2012,2013,0.0
Bazoule,12.3176,-1.7101,2005,2005,0.0
Bogodogo,12.3225,-1.4533,2012,2013,0.0
Boulmiougou,12.3276,-1.555,2012,2013,0.0
Dapoya,12.3792,-1.5436,2006,2006,0.0
Endo,12.5,-1.3333,2007,2008,1.0
Goden,12.1398,-1.3842,1997,2008,1.0
Goguen,12.3417,-1.7212,2005,2005,0.0
INERA forestry,12.353,-1.5564,2004,2004,0.0
Komlela,12.2512,-1.7586,2005,2005,0.0
Kossodo,12.2979,-1.4153,2005,2005,0.0
Koubri-Kuiti,12.1978,-1.4078,1999,2002,1.0
Koubry,12.15,-1.383,2001,2007,0.0
Managsombo,12.5,-1.333,1991,1992,0.0
Nabmanague,12.2928,-1.4678,2005,2005,0.0
Pehele,12.25,-1.1833,2002,2002,1.0
Saaba,12.3327,-1.4444,2005,2005,0.0
Sale,12.596,-1.667,2005,2005,0.0
Sig-Noghin,12.3941,-1.5793,2012,2013,0.0
Sogoden,12.3096,-1.4198,2005,2005,0.0
Tanlarghin,12.2992,-1.3856,2005,2005,0.0
Yamtenga,12.333,-1.451,2006,2006,0.0
Zongo,12.35,-1.6,2006,2006,0.0
Boussouma,11.7259,-0.6616,2005,2005,0.0
Dirze,11.3869,-0.6014,2002,2002,1.0
Fingla,11.8079,-0.7539,2005,2005,0.0
Gondere,11.8087,-0.4169,2005,2005,0.0
Goulanda,11.8263,-0.7291,2005,2005,0.0
Gourgou,11.7613,-0.3204,2005,2005,0.0
Lourgogo,11.868,-0.564,2005,2005,0.0
Moaga,11.7254,-0.2012,2005,2005,0.0
Sabtenga,11.8,-0.5,2002,2002,1.0
Sanogo,11.7318,-0.5617,2005,2005,0.0
Sondogo,11.8137,-0.8121,2005,2005,0.0
Tieogo,11.7713,-0.4199,2005,2005,0.0
Dourtenga,11.5878,-0.0116,2005,2005,0.0
Ganzaga,11.1443,0.0677,2005,2005,0.0
Kooyarce,11.4156,0.0854,2005,2005,0.0
Lalgaye,11.6221,-0.0693,2005,2005,0.0
Salambaore,11.1384,0.3961,2005,2005,0.0
Sangha,11.1651,0.1599,2005,2005,0.0
Yourga,11.2916,0.1182,2005,2005,0.0
Belmin,12.1608,-0.4129,2005,2005,0.0
Bonsse,12.1693,-0.0573,2005,2005,0.0
Boumtenga,12.2146,-0.3813,2005,2005,0.0
Dapelogo,12.1315,-0.1267,2005,2005,0.0
Fada,12.054,-0.357,2002,2008,1.0
Goughin,12.1429,-0.0651,2005,2005,0.0
Kodomende,12.4899,-0.6014,2005,2005,0.0
Kwibene,12.2111,-0.1346,2005,2005,0.0
Lelgen,12.1467,-0.2974,2005,2005,0.0
Namoumkouka,12.159,-0.0951,2005,2005,0.0
Pouytenga,12.219,-0.4482,2005,2005,0.0
Tensobentinga,12.0033,-0.2593,2005,2005,0.0
Tensobtenga,12.001,-0.267,2000,2001,1.0
Toesse,11.8171,-0.2839,2005,2005,0.0
Yarkare,12.2003,-0.1263,2005,2005,0.0
Kamboko,13.2781,-1.7515,2005,2005,0.0
Koura,13.3758,-1.5424,2005,2005,0.0
Rambo,13.4023,-1.6218,2005,2005,0.0
Rouko,13.1937,-1.6264,2005,2005,0.0
Sika,13.3105,-1.3753,2005,2005,0.0
Boko,12.7177,-0.3975,2005,2005,0.0
Boulsa,12.6684,-0.5725,2005,2005,0.0
Dassamtanga,13.5274,-0.5216,2005,2005,0.0
Koulponsgo,13.4171,-0.6545,2005,2005,0.0
Niounougou,13.169,-0.4735,2005,2005,0.0
Tafogo,13.3794,-0.5429,2005,2005,0.0
Tougouri,13.3083,-0.5266,1992,2005,1.0
Yalgho (Yalogo),13.5829,-0.2633,1992,1992,1.0
Yalgo,13.5895,-0.2667,2005,2005,0.0
Bagadogo,12.8814,-0.8388,2005,2005,0.0
Basnere,13.2536,-1.2564,2005,2005,0.0
Deme,13.1933,-1.1732,2005,2005,0.0
Goudrin,12.95,-0.8934,2005,2005,0.0
Hanhoui,12.8351,-1.0612,2005,2005,0.0
Korsimoro,12.8224,-1.0694,2005,2005,0.0
Koutoumtenga,12.8495,-1.0161,2005,2005,0.0
